2017-02-21 20:25:44.969 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁
2017-02-21 21:33:13.886 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-21 21:33:13.891 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁结束...
2017-02-21 21:33:49.215 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-21 21:33:49.259 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-21 21:33:59.263 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-21 21:33:59.264 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-21 21:34:09.271 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-21 21:34:09.273 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-21 21:34:19.278 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-21 21:34:19.279 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-21 21:34:19.879 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-21 21:34:19.947 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-21 21:34:29.282 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-21 21:38:47.849 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-21 21:38:47.856 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁结束...
2017-02-21 21:40:18.000 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-21 21:40:18.005 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁结束...
2017-02-21 21:41:55.681 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-21 21:41:55.688 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁结束...
2017-02-21 21:42:39.436 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-21 21:42:39.440 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁结束...
2017-02-21 21:43:18.094 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-21 21:43:18.098 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁结束...
2017-02-21 21:46:46.865 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-21 21:46:46.870 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁结束...
2017-02-21 22:04:54.174 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-21 22:04:54.179 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁结束...
