2017-02-22 19:12:25.308 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-22 19:12:25.319 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁结束...
2017-02-22 19:13:55.181 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-22 19:13:55.187 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁结束...
2017-02-22 19:14:38.868 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-22 19:14:39.017 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:14:44.027 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-22 19:14:44.031 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:14:49.044 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-22 19:14:49.051 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:19:40.081 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁开始...
2017-02-22 19:19:40.128 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:19:45.135 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-22 19:19:45.148 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:19:50.156 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-22 19:19:50.164 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:19:55.170 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-22 19:19:55.177 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:20:00.224 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-22 19:20:00.249 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:20:05.268 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-22 19:20:05.295 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:20:10.318 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-22 19:20:10.329 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:20:15.337 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-22 19:20:15.341 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:20:20.416 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-22 19:20:20.420 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:20:25.426 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-22 19:20:25.429 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:20:30.943 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-22 19:20:30.943 [main] INFO  [com.etime.arch.redis.lock.DistributedLockTest] - 测试多线程争抢全局锁结束...
2017-02-22 19:21:54.580 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:21:59.592 [main] INFO  [com.etime.arch.redis.lock.Task] - main释放锁
2017-02-22 19:21:59.598 [main] INFO  [com.etime.arch.redis.lock.Task] - main获得锁
2017-02-22 19:23:15.068 [线程4] INFO  [com.etime.arch.redis.lock.Task] - 线程4获得锁
2017-02-22 19:23:15.070 [线程10] INFO  [com.etime.arch.redis.lock.Task] - 线程10获得锁
2017-02-22 19:23:15.068 [线程5] INFO  [com.etime.arch.redis.lock.Task] - 线程5获得锁
2017-02-22 19:23:15.070 [线程9] INFO  [com.etime.arch.redis.lock.Task] - 线程9获得锁
2017-02-22 19:23:15.067 [线程3] INFO  [com.etime.arch.redis.lock.Task] - 线程3获得锁
2017-02-22 19:23:15.067 [线程2] INFO  [com.etime.arch.redis.lock.Task] - 线程2获得锁
2017-02-22 19:23:15.068 [线程1] INFO  [com.etime.arch.redis.lock.Task] - 线程1获得锁
2017-02-22 19:23:15.067 [线程6] INFO  [com.etime.arch.redis.lock.Task] - 线程6获得锁
2017-02-22 19:23:15.067 [线程7] INFO  [com.etime.arch.redis.lock.Task] - 线程7获得锁
2017-02-22 19:23:15.067 [线程8] INFO  [com.etime.arch.redis.lock.Task] - 线程8获得锁
2017-02-22 19:23:20.111 [线程4] INFO  [com.etime.arch.redis.lock.Task] - 线程4释放锁
2017-02-22 19:23:20.116 [线程10] INFO  [com.etime.arch.redis.lock.Task] - 线程10释放锁
2017-02-22 19:23:20.126 [线程9] INFO  [com.etime.arch.redis.lock.Task] - 线程9释放锁
2017-02-22 19:23:20.126 [线程3] INFO  [com.etime.arch.redis.lock.Task] - 线程3释放锁
2017-02-22 19:23:20.126 [线程2] INFO  [com.etime.arch.redis.lock.Task] - 线程2释放锁
2017-02-22 19:23:20.126 [线程5] INFO  [com.etime.arch.redis.lock.Task] - 线程5释放锁
2017-02-22 19:23:20.127 [线程1] INFO  [com.etime.arch.redis.lock.Task] - 线程1释放锁
2017-02-22 19:23:20.127 [线程6] INFO  [com.etime.arch.redis.lock.Task] - 线程6释放锁
2017-02-22 19:23:20.128 [线程8] INFO  [com.etime.arch.redis.lock.Task] - 线程8释放锁
2017-02-22 19:23:20.128 [线程7] INFO  [com.etime.arch.redis.lock.Task] - 线程7释放锁
2017-02-22 19:24:09.855 [线程9] INFO  [com.etime.arch.redis.lock.Task] - 线程9获得锁
2017-02-22 19:24:09.852 [线程4] INFO  [com.etime.arch.redis.lock.Task] - 线程4获得锁
2017-02-22 19:24:09.852 [线程1] INFO  [com.etime.arch.redis.lock.Task] - 线程1获得锁
2017-02-22 19:24:09.854 [线程10] INFO  [com.etime.arch.redis.lock.Task] - 线程10获得锁
2017-02-22 19:24:09.852 [线程2] INFO  [com.etime.arch.redis.lock.Task] - 线程2获得锁
2017-02-22 19:24:09.852 [线程5] INFO  [com.etime.arch.redis.lock.Task] - 线程5获得锁
2017-02-22 19:24:09.852 [线程8] INFO  [com.etime.arch.redis.lock.Task] - 线程8获得锁
2017-02-22 19:24:09.852 [线程3] INFO  [com.etime.arch.redis.lock.Task] - 线程3获得锁
2017-02-22 19:24:09.852 [线程7] INFO  [com.etime.arch.redis.lock.Task] - 线程7获得锁
2017-02-22 19:24:09.852 [线程6] INFO  [com.etime.arch.redis.lock.Task] - 线程6获得锁
2017-02-22 19:24:19.866 [线程1] INFO  [com.etime.arch.redis.lock.Task] - 线程1释放锁
2017-02-22 19:24:19.868 [线程9] INFO  [com.etime.arch.redis.lock.Task] - 线程9释放锁
2017-02-22 19:24:19.868 [线程4] INFO  [com.etime.arch.redis.lock.Task] - 线程4释放锁
2017-02-22 19:24:19.868 [线程7] INFO  [com.etime.arch.redis.lock.Task] - 线程7释放锁
2017-02-22 19:24:19.868 [线程2] INFO  [com.etime.arch.redis.lock.Task] - 线程2释放锁
2017-02-22 19:24:19.868 [线程3] INFO  [com.etime.arch.redis.lock.Task] - 线程3释放锁
2017-02-22 19:24:19.868 [线程10] INFO  [com.etime.arch.redis.lock.Task] - 线程10释放锁
